wavelength,Fluoranthene,Anthracene,Pyrene,Benzo[a]pyrene,Benzo[a]anthracene,Dibenzo[ah]anthracene,Chrysene,Benzo[ghi]perylene,Benzo[b]anthracene,Benzo[e]pyrene
280,14867,9,4000,28152,47317,39952,11019,22909,104951,40886
281,14067,91,4000,30544,43415,39949,11072,23399,78948,32751
282,15323,173,4000,33905,41098,43362,11259,23400,78924,28846
283,16489,255,4000,40269,44512,52089,11393,24221,42764,26241
284,14886,338,4000,45750,56707,72776,11285,25071,38318,26236
285,12032,420,4000,47700,72195,84161,10777,26252,28824,28509
286,12930,502,4000,46739,86707,88521,9949,27488,27583,32408
287,32235,584,4000,42071,88781,87380,9467,29791,25265,36957
288,41800,667,4000,38108,87805,85003,9093,32660,19423,43620
289,29742,749,4000,32999,70122,82056,8986,36218,18586,57275
290,16344,831,4000,30625,55000,75978,9092,40629,15594,59711
291,8396,913,4195,29574,39146,69899,9653,44034,15589,50439
292,4559,995,4195,30113,29268,63631,10107,44545,16281,35313
293,3045,1078,4293,34005,25366,59639,10855,38811,17377,25392
294,2513,1160,4341,40105,14634,65141,11764,35815,18546,20672
295,2161,1242,4390,44349,11707,98356,11977,32672,23072,16441
296,1898,1324,4245,57596,9756,163461,11817,30497,24625,14485
297,1724,1324,4173,64400,8841,148651,10908,29129,24081,13669
298,1461,1324,4100,59821,7439,130614,9999,28799,24074,13178
299,1555,1397,5800,48621,8902,103655,8823,30154,23037,12524
300,1470,1322,7500,37601,9006,85238,8341,34217,13040,12195
301,1653,1343,8750,27636,7982,55432,8288,39730,8988,13167
302,1748,1365,9375,20407,6897,45557,8795,54805,4366,13976
303,1932,1443,10000,14150,4090,36631,9890,58719,3009,14623
304,2115,1465,11250,9749,3475,29793,10906,54811,2167,14782
305,2209,1568,11875,8210,3246,26942,12295,45090,1741,14779
306,2393,1782,12500,5973,3222,25989,13017,35837,1338,14612
307,2665,1777,12069,5364,3282,24277,13177,26893,1338,14446
308,2938,1773,11854,4928,3378,23038,12589,20414,1173,13955
309,3211,1851,11639,4228,3571,21609,11573,15675,1074,13789
310,3037,1954,11208,3976,3908,20848,9595,12176,1074,13947
311,3131,1951,10992,3812,4185,18754,7991,10249,826,14431
312,2957,1945,10777,3700,4317,17232,7429,8627,790,14916
313,3052,1831,11177,3559,4461,15900,7001,7691,685,15725
314,3056,1823,12255,3749,4563,14282,7081,6779,634,17348
315,3061,1928,13333,3929,4605,13234,7749,6255,607,19621
316,3244,2031,16448,3760,4485,13230,8818,5641,607,22544
317,3428,2055,18883,3509,4581,14175,10074,5327,581,25792
318,3522,2106,24713,3167,4340,15879,10795,4972,487,24162
319,3706,2126,29864,3131,4243,16446,11490,4641,446,21395
320,3979,2120,31621,3094,4231,17768,11837,4382,427,19440
321,4340,2307,28919,2839,4460,18335,11837,4138,408,16346
322,4792,2356,26216,2588,4652,19089,11489,3952,391,15530
323,5154,2677,23513,2729,4857,18040,8255,3775,358,14551
324,5516,2838,20811,2869,5447,16994,5502,3648,358,13735
325,5164,2668,18108,3054,5881,13951,3684,3648,328,13244
326,4990,2334,15405,3239,6314,12429,2561,3733,314,14865
327,4726,2221,12703,3781,6422,11096,1412,3953,300,17301
