wavelength,1-methylnaphthalene,"2,6-dimethylnaphthalene","1,6,7-trimethylnaphthalene",9-methylphenanthrene,9-methylanthracene,1-methylpyrene,1-methylchrysene
280,3793,3586,6611,3793,384,5577,13208
281,3750,3537,6763,3750,359,4648,11786
282,3541,3441,7163,3541,328,3537,10759
283,3383,3442,7586,3383,310,3192,10164
284,3308,3396,7412,3308,297,2982,9941
285,3206,3350,6996,3206,275,2849,9830
286,3200,3213,6453,3200,262,2770,9834
287,2986,3126,5951,2986,254,2754,9506
288,2852,2876,5617,2852,248,2818,9226
289,2601,2468,5370,2601,240,2883,8983
290,2263,2270,5180,2263,235,3018,8885
291,1947,1791,5248,1947,238,3088,8688
292,1660,1474,5359,1660,238,3269,8791
293,1318,1100,5370,1318,241,3461,9102
294,1011,984,5610,1011,250,3631,9423
295,677,893,5740,677,268,4250,9981
296,537,799,5806,537,292,4500,10694
297,467,695,4997,467,331,4818,10577
298,421,613,4301,421,339,5339,10342
299,379,421,3377,379,371,5717,10345
300,338,398,2129,338,411,5850,10116
301,301,404,1711,301,433,5985,9550
302,297,433,1358,297,446,6337,9386
303,340,484,1018,340,452,6633,9456
304,423,440,837,423,468,6865,9789
305,449,410,741,449,496,7351,9991
306,419,388,712,419,520,7872,10492
307,356,394,745,356,604,9290,11371
308,292,428,754,292,653,9772,11908
309,276,679,661,276,700,10957,12589
310,283,792,592,283,761,11868,13059
311,293,625,515,293,844,12338,12915
312,293,521,509,293,902,13456,12342
313,268,435,492,268,981,13458,9936
314,236,403,419,236,1028,13458,8566
315,200,423,340,200,1053,12429,7943
316,168,487,336,168,1091,12430,8005
317,179,537,433,179,1109,12645,8576
318,368,501,491,368,1144,13012,9550
319,481,349,464,481,1172,13934,10715
320,409,316,306,409,1221,14585,11827
321,224,308,276,224,1272,15801,12817
322,121,436,299,121,1333,17706,13578
323,0,636,287,0,1429,19624,13895
324,0,1008,227,0,1497,23545,13804
325,0,995,134,0,1569,27307,12618
326,0,482,96,0,1701,30258,11324
327,0,359,73,0,1866,32035,9652
328,0,189,0,0,2023,28589,7594
329,0,0,0,0,2219,21753,5091
330,0,0,0,0,2433,15635,3532
331,0,0,0,0,2608,13795,2624
332,0,0,0,0,2672,12812,1995
333,0,0,0,0,2644,12887,1517
334,0,0,0,0,2558,13545,1369
335,0,0,0,0,2475,15119,1141
336,0,0,0,0,2450,17937,984
337,0,0,0,0,2453,19877,871
338,0,0,0,0,2455,24121,774
339,0,0,0,0,2458,27350,723
340,0,0,0,0,2576,38497,675
341,0,0,0,0,2761,45676,638
342,0,0,0,0,3098,50039,603
343,0,0,0,0,3398,50045,624
344,0,0,0,0,3945,47279,705
345,0,0,0,0,4376,30324,803
346,0,0,0,0,5012,14629,776
347,0,0,0,0,5559,4324,632
348,0,0,0,0,5772,2392,464
349,0,0,0,0,5650,1569,419
350,0,0,0,0,5342,1338,410
351,0,0,0,0,4772,1308,410
352,0,0,0,0,4312,1449,420
353,0,0,0,0,4078,1549,430
354,0,0,0,0,3813,1625,420
355,0,0,0,0,3524,996,346
356,0,0,0,0,3489,766,285
357,0,0,0,0,3532,603,288
358,0,0,0,0,3744,537,302
359,0,0,0,0,3968,475,346
360,0,0,0,0,4157,434,451
361,0,0,0,0,4665,378,721
362,0,0,0,0,5175,323,790
363,0,0,0,0,6077,282,809
364,0,0,0,0,7218,272,722
365,0,0,0,0,8285,263,427
366,0,0,0,0,8783,260,196
367,0,0,0,0,8595,251,0
368,0,0,0,0,8220,232,0
369,0,0,0,0,6780,63,0
370,0,0,0,0,5720,53,0
371,0,0,0,0,4664,72,0
372,0,0,0,0,3892,141,0
373,0,0,0,0,3246,214,0
374,0,0,0,0,2933,342,0
375,0,0,0,0,2786,533,0
376,0,0,0,0,2761,366,0
377,0,0,0,0,2844,169,0
378,0,0,0,0,3049,113,0
379,0,0,0,0,3232,0,0
380,0,0,0,0,3424,0,0
381,0,0,0,0,4508,0,0
382,0,0,0,0,4724,0,0
383,0,0,0,0,4783,0,0
384,0,0,0,0,5428,0,0
385,0,0,0,0,6826,0,0
386,0,0,0,0,7486,0,0
387,0,0,0,0,8496,0,0
388,0,0,0,0,8314,0,0
389,0,0,0,0,7096,0,0
390,0,0,0,0,5162,0,0
391,0,0,0,0,4307,0,0
392,0,0,0,0,2994,0,0
393,0,0,0,0,2280,0,0
394,0,0,0,0,1621,0,0
395,0,0,0,0,1193,0,0
396,0,0,0,0,784,0,0
397,0,0,0,0,692,0,0
398,0,0,0,0,392,0,0
399,0,0,0,0,312,0,0
400,0,0,0,0,222,0,0
