wavelength,benzothiophene,dibenzothiophene,dibenzofuran,acenaphthylene,carbazole,"Indeno[1,2,3-cd]pyrene",retene,acridine
280,0,1109,15285,1201,5993,20922,14613,650
281,0,1200,15763,1188,6344,20169,13451,635
282,0,1333,15429,1188,6718,19417,12909,620
283,0,1369,14635,1244,6793,18476,12136,620
284,0,1540,14324,1288,7328,18268,11171,612
285,0,1667,14167,1380,7786,18924,11912,598
286,0,1875,14308,1530,8242,20454,12823,597
287,0,2628,14005,1777,8625,20961,13366,597
288,0,3409,12740,1993,9130,21477,13859,597
289,0,2635,11469,2210,9555,22688,11976,603
290,0,1214,10326,2522,10231,23720,10599,603
291,0,559,9199,2754,10585,28704,9521,613
292,0,301,8457,2951,11246,28974,8581,624
293,0,166,8022,3228,11727,29247,8161,631
294,0,58,7852,3357,12555,28356,7907,653
295,0,24,7847,3500,13291,28003,8799,683
296,0,19,8263,3665,13441,28186,9994,707
297,0,19,8173,3709,12986,28904,11121,732
298,0,19,7435,3928,11850,30515,11882,749
299,0,20,5319,4161,10449,32825,14057,793
300,0,21,0,4210,9645,34808,14996,840
301,0,22,0,4359,8902,35884,14981,879
302,0,25,0,4670,7850,37316,12176,910
303,0,28,0,5004,6922,39641,8000,964
304,0,31,0,5240,5635,39110,5506,1033
305,0,34,0,5878,4433,36792,3573,1094
306,0,37,0,6016,3409,31974,2468,1159
307,0,41,0,6228,2259,27335,1370,1228
308,0,43,0,6522,1737,21535,1056,1286
309,0,50,0,0,1291,19307,785,1346
310,0,60,0,0,1345,17169,715,1426
311,7,72,0,0,1382,17350,631,1528
312,6,78,0,0,1479,18783,606,1600
313,4,89,0,0,1621,20215,582,1714
314,3,98,0,0,1735,22718,583,1816
315,3,106,0,0,1816,26651,583,1946
316,3,116,0,0,1900,35048,609,2061
317,3,129,0,0,1966,33266,636,2183
318,2,133,0,0,2081,25456,637,2313
319,2,123,0,0,2129,17167,612,2450
320,2,117,0,0,2254,11671,564,2595
321,2,126,0,0,2305,9353,497,2797
322,2,123,0,0,2279,7928,477,2878
323,2,127,0,0,2304,6593,458,3048
324,2,141,0,0,2278,6150,449,3192
325,2,134,0,0,2102,5440,431,3342
326,2,141,0,0,1812,5978,387,3540
327,2,145,0,0,1598,5982,373,3793
328,2,134,0,0,1458,6165,315,3926
329,2,61,0,0,1425,5990,297,4159
330,2,25,0,0,1491,5994,310,4254
331,2,0,0,0,1543,6534,317,4558
332,2,0,0,0,1810,6449,352,4828
333,2,0,0,0,2128,6898,368,4997
334,1,0,0,0,2407,7080,376,5232
335,1,0,0,0,2434,7620,361,5542
336,1,0,0,0,2406,8071,305,5736
337,1,0,0,0,2074,8342,275,6076
338,1,0,0,0,1708,9061,243,6436
339,1,0,0,0,1439,9600,223,6897
340,1,0,0,0,0,9962,206,7391
341,1,0,0,0,0,10501,202,7560
342,1,0,0,0,0,10683,194,7468
343,1,0,0,0,0,11044,190,7293
344,1,0,0,0,0,11405,178,7162
345,1,0,0,0,0,11588,164,7158
346,1,0,0,0,0,11591,151,7112
347,1,0,0,0,0,11773,151,7275
348,1,0,0,0,0,11955,165,7356
349,1,0,0,0,0,12040,180,7438
350,1,0,0,0,0,12143,200,7743
351,1,0,0,0,0,12323,232,7966
352,1,0,0,0,0,12506,209,8537
353,1,0,0,0,0,13046,143,9256
354,1,0,0,0,0,13586,111,10152
355,1,0,0,0,0,14126,0,10265
356,1,0,0,0,0,14843,0,9679
357,1,0,0,0,0,15740,0,8814
358,1,0,0,0,0,16637,0,7842
359,1,0,0,0,0,17355,0,7309
360,1,0,0,0,0,17538,0,6813
361,1,0,0,0,0,17541,0,6499
362,1,0,0,0,0,17366,0,5953
363,1,0,0,0,0,16812,0,5613
364,1,0,0,0,0,16661,0,5324
365,1,0,0,0,0,16485,0,5079
366,1,0,0,0,0,15775,0,4845
367,1,0,0,0,0,15421,0,4569
368,1,0,0,0,0,15246,0,4384
369,1,0,0,0,0,14715,0,4207
370,1,0,0,0,0,14361,0,4060
371,1,0,0,0,0,14187,0,3785
372,1,0,0,0,0,13833,0,3695
373,1,0,0,0,0,13479,0,3525
374,1,0,0,0,0,13305,0,3402
375,1,0,0,0,0,13487,0,3323
376,1,0,0,0,0,14384,0,3151
377,1,0,0,0,0,15102,0,3131
378,1,0,0,0,0,15563,0,3056
379,1,0,0,0,0,15745,0,3020
380,1,0,0,0,0,14757,0,2983
381,1,0,0,0,0,14403,0,2880
382,1,0,0,0,0,13694,0,2747
383,1,0,0,0,0,13518,0,2591
384,1,0,0,0,0,13165,0,2305
385,1,0,0,0,0,13268,0,2075
386,1,0,0,0,0,13173,0,1762
387,1,0,0,0,0,13177,0,1363
388,1,0,0,0,0,13002,0,1199
389,1,0,0,0,0,12826,0,961
390,1,0,0,0,0,11545,0,761
391,1,0,0,0,0,10614,0,549
392,1,0,0,0,0,9623,0,361
393,1,0,0,0,0,8556,0,286
394,1,0,0,0,0,7845,0,199
395,1,0,0,0,0,6082,0,0
396,1,0,0,0,0,5953,0,0
397,1,0,0,0,0,5807,0,0
398,1,0,0,0,0,5783,0,0
399,1,0,0,0,0,5815,0,0
400,1,0,0,0,0,5863,0,0
401,0,0,0,0,0,5931,0,0
402,0,0,0,0,0,6014,0,0
403,0,0,0,0,0,6047,0,0
404,0,0,0,0,0,6132,0,0
405,0,0,0,0,0,6129,0,0
406,0,0,0,0,0,6172,0,0
407,0,0,0,0,0,6173,0,0
408,0,0,0,0,0,6194,0,0
409,0,0,0,0,0,6271,0,0
410,0,0,0,0,0,6197,0,0
411,0,0,0,0,0,6139,0,0
412,0,0,0,0,0,5987,0,0
413,0,0,0,0,0,5880,0,0
414,0,0,0,0,0,5751,0,0
415,0,0,0,0,0,5496,0,0
416,0,0,0,0,0,5295,0,0
417,0,0,0,0,0,5184,0,0
418,0,0,0,0,0,5055,0,0
419,0,0,0,0,0,4908,0,0
420,0,0,0,0,0,4868,0,0
421,0,0,0,0,0,4845,0,0
422,0,0,0,0,0,4842,0,0
423,0,0,0,0,0,4748,0,0
424,0,0,0,0,0,4655,0,0
425,0,0,0,0,0,4579,0,0
426,0,0,0,0,0,4538,0,0
427,0,0,0,0,0,4553,0,0
428,0,0,0,0,0,4600,0,0
429,0,0,0,0,0,4544,0,0
430,0,0,0,0,0,4361,0,0
431,0,0,0,0,0,4124,0,0
432,0,0,0,0,0,4086,0,0
433,0,0,0,0,0,4045,0,0
434,0,0,0,0,0,4040,0,0
435,0,0,0,0,0,3946,0,0
436,0,0,0,0,0,3710,0,0
437,0,0,0,0,0,3385,0,0
438,0,0,0,0,0,3006,0,0
439,0,0,0,0,0,2840,0,0
440,0,0,0,0,0,2534,0,0
441,0,0,0,0,0,2457,0,0
442,0,0,0,0,0,2149,0,0
443,0,0,0,0,0,1858,0,0
444,0,0,0,0,0,1772,0,0
445,0,0,0,0,0,1490,0,0
446,0,0,0,0,0,1452,0,0
447,0,0,0,0,0,1436,0,0
448,0,0,0,0,0,1409,0,0
449,0,0,0,0,0,1308,0,0
450,0,0,0,0,0,1154,0,0
451,0,0,0,0,0,1021,0,0
452,0,0,0,0,0,944,0,0
453,0,0,0,0,0,923,0,0
454,0,0,0,0,0,990,0,0
455,0,0,0,0,0,967,0,0
456,0,0,0,0,0,856,0,0
457,0,0,0,0,0,663,0,0
458,0,0,0,0,0,579,0,0
459,0,0,0,0,0,480,0,0
460,0,0,0,0,0,424,0,0
461,0,0,0,0,0,441,0,0
462,0,0,0,0,0,473,0,0
463,0,0,0,0,0,447,0,0
464,0,0,0,0,0,286,0,0
465,0,0,0,0,0,86,0,0
466,0,0,0,0,0,86,0,0
467,0,0,0,0,0,86,0,0
468,0,0,0,0,0,86,0,0
469,0,0,0,0,0,86,0,0
470,0,0,0,0,0,86,0,0
471,0,0,0,0,0,86,0,0
472,0,0,0,0,0,86,0,0
473,0,0,0,0,0,86,0,0
474,0,0,0,0,0,86,0,0
475,0,0,0,0,0,86,0,0
476,0,0,0,0,0,86,0,0
477,0,0,0,0,0,86,0,0
478,0,0,0,0,0,86,0,0
479,0,0,0,0,0,86,0,0
480,0,0,0,0,0,86,0,0
481,0,0,0,0,0,86,0,0
482,0,0,0,0,0,86,0,0
483,0,0,0,0,0,86,0,0
484,0,0,0,0,0,86,0,0
485,0,0,0,0,0,86,0,0
486,0,0,0,0,0,86,0,0
487,0,0,0,0,0,86,0,0
488,0,0,0,0,0,86,0,0
489,0,0,0,0,0,86,0,0
490,0,0,0,0,0,86,0,0
491,0,0,0,0,0,86,0,0
492,0,0,0,0,0,86,0,0
493,0,0,0,0,0,86,0,0
494,0,0,0,0,0,86,0,0
495,0,0,0,0,0,86,0,0
496,0,0,0,0,0,86,0,0
497,0,0,0,0,0,86,0,0
498,0,0,0,0,0,86,0,0
499,0,0,0,0,0,86,0,0
500,0,0,0,0,0,86,0,0
