wavelength,Phenanthrene,Naphthalene,Fluorene,Acenaphthene,Benzo[b]fluorene,Perylene,Benzanthrone,Benzo[b]fluoranthene,Benzo[k]fluoranthene,Benzo[a]fluorene
280,9790,5789,5464,6066,8223,2153,7089,24257,16643,10200
281,10257,5122,4867,5990,8514,2081,7171,23636,18130,9988
282,11000,4724,4539,5847,9125,2011,7254,23464,19404,9590
283,9531,3618,4283,5708,10007,1966,7423,22753,21104,9578
284,7509,3876,4136,5832,11231,1900,7596,22041,24081,9567
285,6225,3878,4134,6028,11628,1815,7596,21151,24184,9750
286,5585,3774,4278,6090,10855,1774,7425,20170,24076,9641
287,4765,3934,4854,6223,9456,1715,7257,20625,22796,9727
288,4679,4100,5703,6505,9137,1638,6932,22964,22794,9910
289,5514,3777,6397,6724,9139,1602,6853,24763,23218,10092
290,6258,3117,6248,6792,9354,1566,6621,26294,24066,10281
291,7372,2369,5828,6707,9356,1496,6253,26660,26617,10067
292,8946,1704,5500,6399,9251,1446,6182,26038,27465,10059
293,12825,1160,5435,5968,8939,1397,6254,26403,30867,10046
294,14400,834,5308,5565,8738,1320,6327,25782,32993,10432
295,9934,679,4728,5190,8740,1261,6624,24174,35118,10425
296,4823,523,4212,4784,8843,1205,6778,21401,41499,10103
297,2523,397,4511,4513,9262,1165,6936,20509,44475,9619
298,1239,315,4722,4257,10158,1138,7179,21144,44898,9796
299,508,319,7487,4350,11270,1113,7263,22317,41491,9781
300,125,319,9533,4445,12794,1039,7432,25821,41064,9962
301,125,278,8591,4241,13871,1016,7604,30222,40636,9762
302,125,286,7652,3651,15567,960,7781,38030,38718,9752
303,125,294,5603,2835,16305,906,7963,40545,39354,9933
304,125,253,3183,2675,15574,856,8148,27281,39777,9171
305,125,227,1208,3029,13725,828,8337,17063,41052,9431
306,125,230,788,2991,12095,809,8434,10881,43603,9519
307,125,209,584,2575,11687,791,8532,8914,49132,8961
308,125,209,423,2142,11424,782,8435,7217,54662,9129
309,125,180,343,1761,11426,773,8436,6684,60192,9119
310,125,148,289,1587,12106,773,8151,5973,64870,9109
311,125,128,0,1447,12679,782,7876,5800,67847,9100
312,125,148,0,1349,13589,782,7698,5359,51248,9267
313,125,231,0,1273,14733,782,7524,5276,28267,9443
314,125,228,0,1214,15791,792,7396,5372,15924,9431
315,143,123,0,1172,17721,783,7106,5378,13794,9606
316,160,80,0,1068,19436,801,6866,5743,11664,9597
317,143,71,0,849,17935,801,6558,5750,10812,9775
318,125,58,0,765,15624,801,6337,5935,8681,9761
319,125,30,0,982,11452,810,5916,6031,8253,9653
320,125,21,0,1818,8995,810,5651,6127,8250,9173
321,125,20,0,1755,6369,829,5336,6314,8248,8649
322,125,22,0,1202,6372,858,4982,6409,7820,7099
323,158,15,0,655,7489,878,4545,6685,8243,6060
324,190,12,0,357,6910,899,4147,6780,7816,4006
325,158,0,0,184,5124,919,3656,6966,7600,3558
326,125,0,0,56,4782,941,3374,7063,7385,2920
327,125,0,0,0,3978,963,3043,7248,6957,2696
328,125,0,0,0,3125,985,2745,7435,6530,2489
329,173,0,0,0,2630,985,2714,7530,6528,2537
330,220,0,0,0,2483,1008,2365,7896,5673,2533
331,173,0,0,0,2512,1020,2234,8081,5671,2632
332,12,0,0,0,2484,1055,2234,8176,5669,2681
333,149,0,0,0,2091,1080,2234,8452,5241,2428
334,12,0,0,0,1700,1131,2286,8728,5239,1992
335,125,0,0,0,1398,1184,2339,8913,5235,1735
336,141,0,0,0,1662,1253,2449,9368,5234,1633
337,158,0,0,0,2759,1282,2477,9464,5232,1632
338,174,0,0,0,4373,1358,2564,9561,5230,1662
339,190,0,0,0,6323,1422,2624,9746,4800,1726
340,96,0,0,0,7096,1471,2685,9752,4798,1865
341,48,0,0,0,5769,1488,2779,9848,4794,1900
342,1,0,0,0,3135,1523,2748,10124,4792,1654
343,111,0,0,0,1263,1541,2748,10042,4365,1358
344,165,0,0,0,710,1559,2844,10048,4363,1148
345,193,0,0,0,340,1559,2911,10143,3936,1092
346,220,0,0,0,233,1577,3118,9970,3508,766
347,166,0,0,0,0,1613,3191,9886,3506,366
348,112,0,0,0,0,1632,3379,9893,3079,487
349,59,0,0,0,0,1709,3579,10169,2649,487
350,5,0,0,0,0,1809,3704,10265,2647,487
351,0,0,0,0,0,1851,3923,10451,3071,0
352,0,0,0,0,0,2052,4155,10280,3069,0
353,0,0,0,0,0,2173,4350,10284,3492,0
354,0,0,0,0,0,2173,4555,9663,3489,0
355,0,0,0,0,0,2354,4769,9310,2636,0
356,0,0,0,0,0,2551,4936,8688,3485,0
357,0,0,0,0,0,2795,5110,8336,4759,0
358,0,0,0,0,0,2960,5289,7984,6034,0
359,0,0,0,0,0,3206,5474,7990,7306,0
360,0,0,0,0,0,3434,5666,7908,7304,0
361,0,0,0,0,0,3636,5865,7734,6877,0
362,0,0,0,0,0,3807,6002,7561,6449,0
363,0,0,0,0,0,3985,6071,7299,5170,0
